"id","atlas_id","name","acronym","red","green","blue","st_order","st_level","ontology_id","hemisphere_id","sibling_order","created_at","updated_at","row_number"
1,424,"Tuberomammillary nucleus, ventral part","TMv",255,76,62,1,9,1,3,1,"","","1"
2,990,"Primary somatosensory area, mouth, layer 6b","SSp-m6b",24,128,100,5,11,1,3,5,"","","2"
3,707,"secondary fissure","sec",170,170,170,5,8,1,3,5,"","","3"
4,141,"Inferior colliculus","IC",255,122,255,1,8,1,3,1,"","","4"
5,849,"Cerebral cortex, layer 4","CTX4",112,255,112,1191150,"",1,3,119150,"","","5"
6,566,"internal capsule","int",204,204,204,0,9,1,3,0,"","","6"
7,283,"Principal sensory nucleus of the trigeminal","PSV",255,174,111,1,8,1,3,1,"","","7"
8,0,"Basic cell groups and regions","grey",191,218,227,0,1,1,3,0,"","","8"
9,991,"Primary somatosensory area, trunk, layer 6a","SSp-tr6a",24,128,100,4,11,1,3,4,"","","9"
10,425,"Superior colliculus, motor related, intermediate gray layer","SCig",255,144,255,3,9,1,3,3,"","","10"
11,708,"posterolateral fissure","plf",170,170,170,6,8,1,3,6,"","","11"
12,142,"Interfascicular nucleus raphe","IF",255,166,255,0,8,1,3,0,"","","12"
13,850,"Cerebral cortex, layer 5","CTX5",112,255,112,1191160,"",1,3,119160,"","","13"
14,567,"internal medullary lamina of the thalamus","im",204,204,204,1,8,1,3,1,"","","14"
15,284,"Parataenial nucleus","PT",255,144,159,1,8,1,3,1,"","","15"
16,1,"Layer 6b, isocortex","6b",138,218,135,0,11,1,3,0,"","","16"
17,426,"Superior colliculus, motor related, intermediate white layer","SCiw",255,144,255,2,9,1,3,2,"","","17"
18,709,"nodular fissure","nf",170,170,170,7,8,1,3,7,"","","18"
19,143,"Induseum griseum","IG",126,208,75,3,8,1,3,3,"","","19"
20,992,"Entorhinal area, lateral part, layer 2","ENTl2",50,184,37,1,11,1,3,1,"","","20"
21,568,"lateral olfactory tract, general","lotg",204,204,204,1,9,1,3,1,"","","21"
22,285,"Posterior parietal association areas","PTLp",0,159,172,13,6,1,3,13,"","","22"
23,2,"Anterior amygdalar area","AAA",128,192,226,0,8,1,3,0,"","","23"
24,851,"Cerebral cortex, layer 6a","CTX6a",112,255,112,1191180,"",1,3,119180,"","","24"
25,710,"simple fissure","sif",170,170,170,8,8,1,3,8,"","","25"
26,427,"Superior colliculus, motor related, deep gray layer","SCdg",255,144,255,0,9,1,3,0,"","","26"
27,144,"Intergeniculate leaflet of the lateral geniculate complex","IGL",255,144,159,0,8,1,3,0,"","","27"
28,993,"Entorhinal area, lateral part, layer 6a","ENTl6a",50,184,37,10,11,1,3,10,"","","28"
29,569,"lateral spinothalamic tract","sttl",204,204,204,0,9,1,3,0,"","","29"
30,286,"Periventricular hypothalamic nucleus, anterior part","PVa",255,93,80,3,9,1,3,3,"","","30"
31,3,"Anterior cingulate area","ACA",64,166,102,7,8,1,3,7,"","","31"
32,852,"Cerebral cortex, layers 1-6b","CTX1-6b",176,255,184,1191190,"",1,3,119190,"","","32"
33,428,"Primary visual area, layer 6a","VISp6a",8,133,140,4,11,1,3,4,"","","33"
34,711,"intercrural fissure","icf",170,170,170,9,8,1,3,9,"","","34"
35,145,"Oculomotor nucleus","III",255,144,255,11,8,1,3,11,"","2017-08-10 20:05:28.588248","35"
